,Probe_Id,ILMN_Gene
381,ILMN_1703720,SF3B14
382,ILMN_1685312,PSG3
383,ILMN_1791314,RGS12
384,ILMN_1687235,HPN
385,ILMN_1755366,LOC652730
386,ILMN_1676159,MST4
387,ILMN_1831708,HS.569570
388,ILMN_1706418,EHMT1
389,ILMN_1683173,GABPAP
390,ILMN_1808148,SMCHD1
391,ILMN_1658398,C3ORF41
392,ILMN_1682828,FGL1
393,ILMN_1791588,NCAM1
394,ILMN_2397188,CACNA1H
395,ILMN_2149292,TMEM40
396,ILMN_1653865,LOC642451
397,ILMN_1701058,TATDN1
398,ILMN_1871234,HS.565819
399,ILMN_2242635,SSX3
400,ILMN_1662659,ZNF492
401,ILMN_1684574,DDX12
402,ILMN_2412880,CSAG3B
403,ILMN_1890797,HS.582066
404,ILMN_2082699,C8ORFK36
405,ILMN_2180929,SLC16A12
406,ILMN_2387328,C9ORF84
407,ILMN_1660393,LOC643993
408,ILMN_1733175,LOC647044
409,ILMN_1897253,HS.434322
410,ILMN_1794805,LOC653241
411,ILMN_2303669,SLC4A8
412,ILMN_1665492,SORCS1
413,ILMN_1756920,ADAM15
414,ILMN_1771397,SSX9
415,ILMN_1810593,LRRC7
416,ILMN_1670165,LOC641742
417,ILMN_1703765,GPR12
418,ILMN_1742432,COBRA1
419,ILMN_1806109,LOC648469
420,ILMN_1767805,C21ORF81
421,ILMN_1688749,LOC400963
422,ILMN_1742833,LOC644436
423,ILMN_1664416,MEIS2
424,ILMN_1809676,CACNG6
425,ILMN_2203299,GRIA1
426,ILMN_2084391,RAD18
427,ILMN_1676278,ABCC2
428,ILMN_1708105,EZH2
429,ILMN_1893960,HS.130344
430,ILMN_1705570,H2AFY2
431,ILMN_1730887,LOC652034
432,ILMN_1787933,LOC651834
433,ILMN_1803994,RNF5
434,ILMN_2399016,MMP28
435,ILMN_1801606,AMZ2
436,ILMN_1744382,LOC649009
437,ILMN_1865862,HS.537502
438,ILMN_2347798,IFI6
439,ILMN_1826631,HS.540712
440,ILMN_1857487,HS.99308
441,ILMN_1749612,LOC729101
442,ILMN_2363591,SDCBP
443,ILMN_1870409,HS.566085
444,ILMN_1840354,HS.551193
445,ILMN_1738101,TTLL13
446,ILMN_2405991,TRAF7
447,ILMN_1699015,H3F3A
448,ILMN_1744539,LOC727832
449,ILMN_1871150,HS.580429
450,ILMN_1862896,HS.134603
451,ILMN_1658623,MAGEC3
452,ILMN_2229261,SIGLECP16
453,ILMN_2117538,DPPA3
454,ILMN_1714449,OR5D18
455,ILMN_2047676,OSGEPL1
456,ILMN_1785564,FGF16
457,ILMN_1718968,MT1E
458,ILMN_1671913,HTF9C
459,ILMN_1715458,PCDH10
460,ILMN_2235745,GRIPAP1
461,ILMN_1800562,LOC441722
462,ILMN_1776137,LOC643837
463,ILMN_2359627,BCL2L11
464,ILMN_1792927,LTBP3
465,ILMN_2150661,NUB1
466,ILMN_1779343,SNCB
467,ILMN_2284893,LHX3
468,ILMN_1696302,FABP5
469,ILMN_1786654,LOC644251
470,ILMN_1724386,PCDHGA7
471,ILMN_1911605,HS.334831
472,ILMN_2266224,SORBS1
473,ILMN_1736008,YRDC
474,ILMN_1859775,HS.584264
475,ILMN_1790309,PINX1
476,ILMN_1723412,ASCL2
477,ILMN_1678788,HAPLN2
478,ILMN_1854905,HS.543907
479,ILMN_1730645,TMEFF2
480,ILMN_1839708,HS.544634
481,ILMN_2377019,CORO1B
482,ILMN_1734196,LOC645981
483,ILMN_1781514,PCDH17
484,ILMN_1791634,LOC652460
485,ILMN_1848054,HS.540298
486,ILMN_1862491,HS.541249
487,ILMN_1905508,HS.577642
488,ILMN_2234605,AGRN
489,ILMN_1652392,DCHS2
490,ILMN_1912743,HS.538027
491,ILMN_1776076,POFUT1
492,ILMN_1696249,LOC647568
493,ILMN_1914249,HS.573905
494,ILMN_1841252,HS.521005
495,ILMN_1706536,LOC440871
496,ILMN_1900471,HS.559124
497,ILMN_1668069,LOC392275
498,ILMN_1889111,HS.541814
499,ILMN_1670093,HIST2H2BF
500,ILMN_1756455,IL5RA
501,ILMN_2218604,KBTBD10
502,ILMN_1685037,ASL
503,ILMN_1704785,C10ORF125
504,ILMN_2341815,TFG
505,ILMN_1734472,PEBP4
506,ILMN_2342033,F11R
507,ILMN_1685855,FLJ25778
508,ILMN_1915921,HS.156593
509,ILMN_1755727,JARID1B
510,ILMN_1851579,HS.310427
511,ILMN_1888042,HS.543063
512,ILMN_2221014,BAG4
513,ILMN_1788547,GCLM
514,ILMN_1729591,LOC642701
515,ILMN_1816369,HS.136401
516,ILMN_1661346,LOC648210
517,ILMN_1858041,HS.201735
518,ILMN_1702566,CALCA
519,ILMN_1778803,ZFAND6
520,ILMN_2408179,BAT2
521,ILMN_1909211,HS.344214
522,ILMN_1796543,LOC651680
523,ILMN_1713178,FAM116A
524,ILMN_1824516,HS.253158
525,ILMN_1878876,HS.543173
526,ILMN_1682357,LOC646130
527,ILMN_1684183,RAD9A
528,ILMN_2247988,MOCS1
529,ILMN_1696845,GRLF1
530,ILMN_1795298,GPER
531,ILMN_1823160,HS.576243
532,ILMN_1907262,HS.544034
533,ILMN_1652991,NBPF10
534,ILMN_1771039,GTSE1
535,ILMN_1690843,FLJ36157
536,ILMN_1697121,LOC388526
537,ILMN_2123392,OR4K5
538,ILMN_1714167,CYB5A
539,ILMN_1788098,LHCGR
540,ILMN_1851141,HS.544160
541,ILMN_1798329,LOC644093
542,ILMN_2311041,MRPL52
543,ILMN_1711787,KEAP1
544,ILMN_1696731,LOC652683
545,ILMN_1907674,HS.543518
546,ILMN_1848177,HS.563056
547,ILMN_1671901,LOC158825
548,ILMN_1655563,KIAA0427
549,ILMN_1815168,HVCN1
550,ILMN_1854939,HS.557513
551,ILMN_2191192,CYP2B7P1
552,ILMN_1667314,T1560
553,ILMN_1770260,NFKBIZ
554,ILMN_1664978,TJP2
555,ILMN_1909089,HS.545754
556,ILMN_1796639,UBQLN3
557,ILMN_1807244,STGC3
558,ILMN_1665738,FLI1
559,ILMN_1661598,LOC642966
560,ILMN_1824251,HS.563847
561,ILMN_1835398,HS.566526
562,ILMN_1666893,TRIML2
563,ILMN_1680101,LOC121792
564,ILMN_1913835,HS.548984
565,ILMN_1661288,LOC399829
566,ILMN_1856677,HS.444808
567,ILMN_1805251,LOC641983
568,ILMN_1662843,CD53
569,ILMN_1740622,TRPM3
570,ILMN_1683757,CLDN9
571,ILMN_2365023,C9ORF24
572,ILMN_1804735,CBS
573,ILMN_1801175,MAP2K3
574,ILMN_1891754,HS.551420
575,ILMN_1807652,STRA6
576,ILMN_1713752,SERINC3
577,ILMN_1771728,PXMP4
578,ILMN_1897577,HS.577577
579,ILMN_1852367,HS.369401
580,ILMN_1796339,PLEKHA2
581,ILMN_2399392,SIL1
582,ILMN_1737629,ADAM20
583,ILMN_1749014,ACLY
584,ILMN_1815130,MICALL1
585,ILMN_1656525,SPG21
586,ILMN_1883950,HS.564465
587,ILMN_1666148,OR8A1
588,ILMN_1727043,GLT25D1
589,ILMN_1880406,HS.413494
590,ILMN_1776175,LOC388938
591,ILMN_1898102,HS.126566
592,ILMN_1876724,HS.538183
593,ILMN_1813131,LOC643431
594,ILMN_1765076,APPL2
595,ILMN_1873313,HS.303746
